"received_at","sender","subject","audit_bucket","gmail_label","inferred_area","identity_assessment","confidence","reason","useful","recommended_action","gmail_url"
"2026-08-10T03:52:46+00:00","Academia Mentions premium@academia-mail.com","Paniz Hosseini cited your paper","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19fe9cd3573d041e"
"2026-08-08T18:23:31+00:00","Panda Express panda-express@pandaexpressemail.smg.com","Your feedback is important to us.","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19fe30b8b5ae45d3"
"2026-08-08T02:41:44+00:00","Academia Mentions premium@academia-mail.com","Paniz Hosseini cited your paper","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19fdf3f7004f261c"
"2026-08-07T02:07:18+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Computer Science papers?","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19fd9f991cc87582"
"2026-08-06T16:00:26+00:00","Microsoft msa@communication.microsoft.com","이용 약관 업데이트","Excluded — left untouched","","Account, security, or terms notice","Outside research-promotion audit","High","The user explicitly asked to leave unrelated account, security, and terms-related messages alone.","Not assessed","No label change.","https://mail.google.com/mail/#all/19fd7cdf9e869ffb"
"2026-08-06T01:31:03+00:00","Netflix House hello@netflixhouse.com","Press play on your August plans ▶️","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19fd4b20f3a8beab"
"2026-08-05T10:03:54-06:00","Routledge Books routledgebooks@email.routledge.com","This Month's Bestsellers are waiting for you! 📖","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19fd2abbc8b5f65c"
"2026-08-05T00:50:34+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19fcf66962396d47"
"2026-08-02T23:36:44+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19fc4d6441a66e94"
"2026-08-01T22:59:01+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Engineering papers?","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19fbf8d60444de27"
"2026-07-31T21:58:57+00:00","Notion Team notify@updates.notion.so","새 기기로 계정에 로그인했습니다.","Excluded — left untouched","","Account, security, or terms notice","Outside research-promotion audit","High","The user explicitly asked to leave unrelated account, security, and terms-related messages alone.","Not assessed","No label change.","https://mail.google.com/mail/#all/19fba3007562482b"
"2026-07-30T21:33:11+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?","Needs Review","Academic Signals/Needs Review","Capacitive sensing, identity unverified","Topically historical but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19fb4f214b7a52b9"
"2026-07-30T21:30:33+00:00","Netflix House hello@netflixhouse.com","In case you missed the fun this July...","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19fb4efb78846332"
"2026-07-28T20:13:39+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19faa5c8bcbff031"
"2026-07-27T19:37:31+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Gesture papers?","Needs Review","Academic Signals/Needs Review","Gesture recognition, modality and identity unverified","Topically plausible but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19fa5151df4a7d4b"
"2026-07-27T08:04:06-06:00","Routledge Books routledgebooks@email.routledge.com","LAST CALL: The Mid-Year Sale is Coming to an End!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19fa3e3f53ef657a"
"2026-07-25T04:39:03+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f9791d1c126f2c"
"2026-07-23T23:01:43+00:00","Netflix House hello@netflixhouse.com","Finally, a family day everyone can agree on!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f91371d1a0495e"
"2026-07-23T03:20:31+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Robust Convergence in Federated Learning..."" was cited","Current Research","Academic Signals/Current Research","Federated, personalized, and adaptive learning under heterogeneity","Exact-title match to a core methodological research line","High identity match; citation claim unverified","The subject names the known “Robust Convergence in Federated Learning...” work. This fits the current federated/adaptive-learning line, but the Academia notification is only a citation lead.","Yes","Retain as a lead and verify the citing paper independently before recording a citation.","https://mail.google.com/mail/#all/19f8cfd30306944e"
"2026-07-22T02:37:39+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?","Needs Review","Academic Signals/Needs Review","Gesture recognition, modality and identity unverified","Topically plausible but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19f87af985b00cc2"
"2026-07-21T17:52:29-06:00","""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""The value of participatory co-design: a case study of upcycling in rural Thailand"" is ready to read","Low Value","Promotions/Low Value","Unrelated academic recommendation","No reliable current research signal","High","Publisher recommendation with no meaningful match to the current or adjacent profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f871865cedbc7c"
"2026-07-21T11:01:22-06:00","Routledge Books routledgebooks@email.routledge.com","Mid-Year Sale: 20% off Paperback and Hardback and 25% off eBooks!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f85a00d2cfa37b"
"2026-07-20T18:08:43+00:00","Grammarly Insights hello@mail.grammarly.com","Are you signed in?","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f80b74a79ab7ae"
"2026-07-20T01:16:45+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f7d18cdeeae882"
"2026-07-17T23:59:42+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Robust Convergence in Federated Learning..."" was cited","Current Research","Academic Signals/Current Research","Federated, personalized, and adaptive learning under heterogeneity","Exact-title match to a core methodological research line","High identity match; citation claim unverified","The subject names the known “Robust Convergence in Federated Learning...” work. This fits the current federated/adaptive-learning line, but the Academia notification is only a citation lead.","Yes","Retain as a lead and verify the citing paper independently before recording a citation.","https://mail.google.com/mail/#all/19f72858d58fd032"
"2026-07-16T23:19:06+00:00","Academia Mentions premium@academia-mail.com","Your paper ""A BPRCNN Based Hand Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The full known BPRCNN paper title is present. It is genuine earlier work, but not the current center of gravity.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f6d3a026c6c3cb"
"2026-07-15T21:30:16+00:00","Netflix House hello@netflixhouse.com","Ready to choose your adventure?","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f67b00bed4c214"
"2026-07-14T22:02:52+00:00","Academia Mentions premium@academia-mail.com","Paniz Hosseini cited your paper","Needs Review","Academic Signals/Needs Review","Capacitive sensing, identity unverified","Topically historical but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19f62a78361e4c84"
"2026-07-13T22:01:49-06:00","Routledge Books routledgebooks@email.routledge.com","The Mid-Year Sale continues!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f5ec9ebba3c4ec"
"2026-07-13T19:12:51+00:00","Panera Bread panera@m1.panerabread.com","Updates to the MyPanera Terms & Conditions","Excluded — left untouched","","Account, security, or terms notice","Outside research-promotion audit","High","The user explicitly asked to leave unrelated account, security, and terms-related messages alone.","Not assessed","No label change.","https://mail.google.com/mail/#all/19f5ce57dc66180b"
"2026-07-13T18:51:32+00:00","Grammarly Insights hello@mail.grammarly.com","📈 See your writing wins + Pro for 50% off!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f5cd1fb2fb3964"
"2026-07-13T17:03:03+00:00","Chick-fil-A one@email.chick-fil-a.com","Cow Appreciation Day is tomorrow!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f5c73d9fd0d9e1"
"2026-07-13T14:28:46+00:00","""bb.q Chicken"" bb_q_chicken@no-reply.momos.com","We'd love to hear more from you!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f5be16874cf54a"
"2026-07-12T05:24:56+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f54c927eb98357"
"2026-07-11T04:45:37+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f4f7ece8b5dab4"
"2026-07-11T01:30:51+00:00","Netflix House hello@netflixhouse.com","Your July plans just dropped!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f4ecc838c9f575"
"2026-07-09T18:47:53-07:00","Panera Bread panera@express.sea1.medallia.com","Please share your feedback","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f49b5c6347c515"
"2026-07-08T12:02:43+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f419be70dcd977"
"2026-07-07T16:59:29-06:00","""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Evaluating generative AI teaching assistants in simulated learning environments: how instructor type and support type affect students� perceptions"" is ready to read","Adjacent or Historical","Academic Signals/Adjacent or Historical","Human-centered AI, HRD, and learning technology","Topical recommendation in an adjacent area","Medium topical relevance","The recommended article concerns generative-AI teaching support, which overlaps the secondary human-centered AI/HRD line but does not establish research identity.","Optional","Read only if useful for the adjacent HRD/human-centered AI line.","https://mail.google.com/mail/#all/19f3eced6eb40962"
"2026-07-06T21:45:11+00:00","Grammarly Insights hello@mail.grammarly.com","Don’t lose your writing streak!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f396474e17317c"
"2026-07-06T17:12:28+00:00","Chick-fil-A one@email.chick-fil-a.com","Tomorrow: Celebrate the Cows with food on us","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f386ac4e26ed1f"
"2026-07-06T09:02:46-06:00","Routledge Books routledgebooks@email.routledge.com","The Biggest Sale of the Season is Here!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f37f440842ecb0"
"2026-07-06T05:24:35+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f35e2ace7d90ad"
"2026-07-05T04:49:48+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f309c79f97211d"
"2026-07-05T03:00:45+00:00","""Academia.edu"" premium@academia-mail.com","You have 1 highly engaged reader","Low Value","Promotions/Low Value","Generic academic-platform marketing","No reliable current research signal","High","Readership/engagement upsell without paper-level evidence or actionable research value.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f3038a4a7ec93f"
"2026-07-04T20:50:00+00:00","CSCPay Mobile cscpaymobile@hello.cscsw.com","Reminder: A Gift from CSC","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f2ee53b7129c08"
"2026-07-03T03:45:35+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f2614f41f67289"
"2026-07-01T06:20:19+00:00","""Academia.edu"" premium@academia-mail.com","H. Lee and ""Real-time Interface Control with Motion Gesture Recognition based on Non-contact Capacitive Sensing"" are mentioned in a paper uploaded to Academia","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f1c55e91c6d1bd"
"2026-07-01T02:10:43+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited by Hunmin Lee","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f1b7162ab08119"
"2026-06-30T10:04:21-06:00","Routledge Books routledgebooks@email.routledge.com","You don't want to miss these bestsellers!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f194863b60c3cc"
"2026-06-30T01:26:21+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?","Needs Review","Academic Signals/Needs Review","Capacitive sensing, identity unverified","Topically historical but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19f16226a6dfd5ad"
"2026-06-29T19:22:31+00:00","Grammarly Insights hello@mail.grammarly.com","Consistency is key 🔑","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f14d5520d68126"
"2026-06-28T00:14:19+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Computer Science papers?","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19f0b93bca9bc04c"
"2026-06-27T20:20:01+00:00","CSCPay Mobile cscpaymobile@hello.cscsw.com","A Gift from CSC","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19f0abd3d4347b2c"
"2026-06-27T08:17:55+00:00","""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in a Computer Science paper uploaded to Academia","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19f0828241f37ee6"
"2026-06-25T22:59:33+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19f0102935183d92"
"2026-06-25T07:44:23-07:00","Google Home googlehome@google.com","Meet the new Google Home Speaker","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19eff3d3a7cdeb4e"
"2026-06-24T23:00:54+00:00","Netflix House hello@netflixhouse.com","Take a trip across Netflix worlds","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19efbde0db2f8e13"
