sender,subject,date,inferred research area,closest area from profile.md,classification,short reason,useful to me
Routledge Books routledgebooks@email.routledge.com,The Mid-Year Sale continues!,2026-07-13T22:01:49-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-07-12T05:24:56+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-07-11T04:45:37+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini",2026-07-08T12:02:43+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,The Biggest Sale of the Season is Here!,2026-07-06T09:02:46-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini",2026-07-06T05:24:35+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini",2026-07-05T04:49:48+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited by Paniz Hosseini",2026-07-03T03:45:35+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com","H. Lee and ""Real-time Interface Control with Motion Gesture Recognition based on Non-contact Capacitive Sensing"" are mentioned in a paper uploaded to Academia",2026-07-01T06:20:19+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited by Hunmin Lee",2026-07-01T02:10:43+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,You don't want to miss these bestsellers!,2026-06-30T10:04:21-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?,2026-06-30T01:26:21+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Computer Science papers?,2026-06-28T00:14:19+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in a Computer Science paper uploaded to Academia",2026-06-27T08:17:55+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-25T22:59:33+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-24T22:20:10+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com","A paper published by a member of the Energy Technologies Area department at Lawrence Berkeley National Laboratory mentions the name ""Hunmin Lee""",2026-06-23T05:00:22+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Engineering papers?,2026-06-22T21:02:47+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,Save 20% on Teaching & Education 🍎,2026-06-22T10:05:58-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?,2026-06-21T20:29:33+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-19T19:18:40+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in an Engineering paper uploaded to Academia",2026-06-19T09:33:02+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Robust Convergence in Federated Learning..."" was cited",2026-06-17T16:07:25+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
"""Academia.edu"" premium@academia-mail.com","Hunmin Lee and ""A BPRCNN Based Hand Motion Classifier Using Electric Field Sensors"" are mentioned in a paper uploaded to Academia",2026-06-15T09:12:45+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture papers?,2026-06-14T14:09:32+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Robust Convergence in Federated Learning..."" was cited",2026-06-12T12:59:19+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
Academia Mentions premium@academia-mail.com,"Your paper ""A BPRCNN Based Hand Motion..."" was cited",2026-06-11T12:19:37+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com","“Lee, Hunmin”: The name ""Lee, Hunmin"" is mentioned in 4 papers uploaded to Academia, including one in a paper by someone in Indianapolis, United States",2026-06-10T10:14:59+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-09T10:59:19+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,Power up your bookshelf: 25% Off!,2026-06-08T10:16:09-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-07T09:52:57+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",People in 2 countries have visited your profile,2026-06-06T10:16:50+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-06T09:16:32+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-04T07:55:58+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Proteus Effect and Health Profiles: Associations Between Physical Inactivity and Avatar Behaviours"" is ready to read",2026-06-02T19:21:34-06:00,Biomedical analytics,Secondary — Graph/interpretable biomedical ML,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
"""Academia.edu"" premium@academia-mail.com","A paper published by a member of the Mechanical Engineering department at University of Tehran mentions the name ""H. Lee""",2026-06-02T08:54:34+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-02T06:30:56+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-06-01T05:55:25+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-30T04:44:24+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",People in 5 countries have read your papers,2026-05-29T08:08:51+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-28T03:27:16+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?,2026-05-27T02:53:47+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,Limited time only: 20% off all books!,2026-05-26T07:04:25-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
"""Academia.edu"" premium@academia-mail.com",“H. Lee” is mentioned in this PDF recently read by 5 people,2026-05-25T04:11:30+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Computer Science papers?,2026-05-25T01:31:16+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-23T00:14:12+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture papers?,2026-05-21T23:40:12+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","H. Lee and ""Real-time Interface Control with Motion Gesture Recognition based on Non-contact Capacitive Sensing"" are mentioned in a paper uploaded to Academia",2026-05-21T06:03:09+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-19T22:44:00+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,LAST CALL: 25% Off eBooks!,2026-05-18T08:11:18-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-17T21:02:47+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",2 people have visited your profile,2026-05-17T08:31:53+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Engineering papers?,2026-05-16T20:09:18+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,Enjoy this weekend treat!,2026-05-15T10:08:48-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
"""Academia.edu"" premium@academia-mail.com",Last reminder: try out Academia Premium for 30 days for just $1,2026-05-15T06:03:41+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Robust Convergence in Federated Learning..."" was cited",2026-05-15T01:07:23+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
"""Academia.edu"" premium@academia-mail.com","A paper published by a member of the Energy Technologies Area department at Lawrence Berkeley National Laboratory mentions the name ""Hunmin Lee""",2026-05-13T08:35:35+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-12T17:33:35+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,Unmissable reads: 25% Off eBooks!,2026-05-12T08:14:27-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?,2026-05-11T16:53:42+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com",Don’t forget: you can try Academia Premium for 30 days for just $1,2026-05-11T04:15:17+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Robust Convergence in Federated Learning..."" was cited",2026-05-09T15:27:51+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
Academia Mentions premium@academia-mail.com,"Your paper ""A BPRCNN Based Hand Motion..."" was cited",2026-05-07T14:03:48+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",Remember: you can try Academia Premium for $1 for 30 days,2026-05-07T04:16:46+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Comparative analysis of the linear, non-linear, and quadratic thermal radiation on polar fluid flow"" is ready to read",2026-05-06T16:29:41-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-06T13:14:57+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in a paper published in Electronics",2026-05-05T05:55:59+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-04T11:41:59+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",Try Academia Premium: 30 day trial for just $1,2026-05-03T10:48:10+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-02T10:22:58+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-05-01T09:43:59+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",Your Personal Website Is Available,2026-05-01T08:51:08+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Your paper ""Real-time Interface Control with Motion..."" was cited",2026-04-27T06:47:52+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
